,graph_name,Top_1,Top_2,Top_3,Top_4,Top_5,Top_6,Top_7,Top_8,Top_9,Top_10
79,18_A_B_H,1,0,1,0,1,0,0,1,0,0
80,8_nd_A_B_OC,0,0,0,1,1,1,0,1,1,0
81,1_nd_A_B_H,1,1,1,1,1,1,1,0,0,0
82,28_A_B_H,0,0,1,1,1,1,0,0,0,0
83,3_nd_A_B_OC,1,1,0,1,1,1,1,1,0,1
84,34_A_B_H,0,1,1,0,1,1,1,1,1,1
85,16_nd_A_B_OC,1,1,1,0,1,1,0,1,0,0
86,31_A_B_H,0,1,1,0,1,1,1,0,0,1
87,9_nh_A_B_H,1,0,1,1,0,0,1,0,1,1
88,13_A_B_OC,0,1,0,1,1,1,0,1,0,1
89,29_A_B_OC,0,0,0,1,0,1,1,0,0,0
90,24_nd_A_B_H,1,0,1,1,1,0,1,0,0,0
91,36_A_B_H,0,0,0,1,1,1,1,1,1,1
92,20_nd_A_B_H,1,1,1,1,1,0,1,1,1,0
93,50_A_B_H,0,0,1,1,1,1,1,0,0,0
94,6_nd_A_B_OC,1,1,1,0,1,1,1,0,1,1
95,51_A_B_H,1,1,1,1,1,1,1,0,0,0
96,13_nd_A_B_H,1,1,1,1,1,0,1,0,0,1
97,36_A_B_OC,1,1,0,1,1,1,1,0,1,0
98,19_A_B_H,1,1,1,1,0,1,1,0,0,0
99,9_nd_A_B_H,1,0,0,0,1,1,1,1,0,1
100,21_nh_A_B_H,1,0,0,1,0,1,0,0,0,1
101,13_A_B_H,1,0,1,0,1,0,1,1,1,0
102,11_A_B_OC,1,0,1,0,0,1,1,0,1,0
103,6_nd_A_B_H,1,1,1,1,1,1,1,0,0,0
104,5_A_B_H,1,0,0,1,1,1,0,1,0,0
105,15_nd_A_B_H,1,1,1,1,1,1,0,1,0,0
106,12_nd_A_B_H,1,1,1,1,1,1,1,0,1,1
107,18_nd_A_B_OC,0,0,1,1,1,1,0,1,0,1
108,22_nd_A_B_H,0,1,1,1,1,1,1,1,1,0
109,28_A_B_OC,1,0,1,1,0,0,1,1,0,0
110,22_nd_A_B_OC,0,1,0,1,0,1,0,0,0,0
111,20_A_B_H,1,1,1,1,1,1,1,0,0,0
112,44_A_B_H,0,0,1,0,1,1,1,1,0,0
113,8_A_B_H,1,1,0,1,0,1,1,1,1,0
114,23_A_B_H,1,1,1,1,1,1,1,0,0,0
115,30_A_B_H,0,0,1,1,1,1,1,1,0,0
116,16_A_B_H,1,1,0,1,0,1,0,1,0,1
117,26_A_B_H,0,0,0,0,0,0,0,0,0,0
118,26_A_B_OC,1,0,1,1,0,1,1,1,1,1
119,22_A_B_OC,0,1,1,1,0,0,0,1,0,1
120,20_A_B_OC,1,0,1,1,1,0,1,1,1,0
121,39_A_B_H,0,0,1,0,1,0,0,0,0,0
122,1_A_B_H,0,1,1,1,1,0,1,0,0,1
123,23_A_B_OC,0,1,1,1,1,1,1,1,0,1
124,37_A_B_OC,1,1,1,1,1,1,1,0,1,1
125,27_A_B_H,0,0,1,0,1,1,0,1,0,1
126,2_nd_A_B_H,1,1,1,1,1,0,1,1,0,0
127,11_A_B_H,0,1,1,1,1,1,1,0,0,1
128,17_nd_A_B_OC,1,0,0,0,1,1,0,1,0,0
129,22_A_B_H,1,0,1,1,1,1,1,1,0,0
130,16_nd_A_B_H,1,1,1,1,1,0,1,1,1,0
131,33_A_B_H,1,1,1,1,0,1,1,0,0,1
132,8_nd_A_B_H,0,1,0,1,1,1,1,1,0,1
133,42_A_B_H,0,1,1,1,1,1,1,0,0,0
134,45_A_B_H,0,0,1,0,1,0,1,0,0,1
135,32_A_B_H,1,0,1,1,1,0,1,0,1,0
136,9_A_B_OC,0,0,1,1,0,1,1,0,0,0
137,17_A_B_OC,1,0,1,1,1,1,1,1,0,1
138,24_A_B_H,0,0,1,1,1,1,1,1,1,1
