,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
37,AR_010,29,90,0.5184912854030502,0.4652564056511953,0.009508302920321149,0.32222222222222224
38,AR_094,11,108,0.5314315541031227,0.4829475693155994,0.0075987161551478765,0.10185185185185185
39,AR_054,5,94,0.5177565707133918,0.4626244287192621,0.008443775523967825,0.05319148936170213
40,AR_014,93,98,0.5082032813125251,0.4347568965012362,0.007159605301591022,0.9489795918367347
41,AR_002,31,90,0.5205882352941177,0.4650034156093159,0.006048316550678433,0.34444444444444444
42,AR_022,83,83,0.5008563666430428,0.4353334111623912,0.006989636041564065,1.0
43,AR_062,78,88,0.5000000000000001,0.4352990754294384,0.006875256864070846,0.8863636363636364
44,AR_074,69,101,0.49597165598912835,0.4300663673262418,0.005837368338910014,0.6831683168316832
45,AR_067,16,100,0.516813725490196,0.46095512015833945,0.008405860314020635,0.16
46,AR_093,55,97,0.5018698200929858,0.4291714957025876,0.007107239052171976,0.5670103092783505
47,AR_080,17,94,0.5080569461827286,0.4545052027458553,0.007528719095378114,0.18085106382978725
48,AR_076,19,108,0.526053013798112,0.4749682624690813,0.007692223941613104,0.17592592592592593
49,AR_004,73,108,0.507171387073348,0.44712743027031054,0.007595221251138996,0.6759259259259259
50,AR_005,8,88,0.5320577094474156,0.4705691815584452,0.00687045400184681,0.09090909090909091
51,AR_063,16,100,0.5116421568627452,0.44843534861669765,0.007432477286319558,0.16
52,AR_066,25,95,0.517543859649123,0.4662520149532985,0.009190449943233994,0.2631578947368421
53,AR_016,67,98,0.5129301720688276,0.44647770890773064,0.007836718804158007,0.6836734693877551
54,AR_008,65,93,0.5128347037739829,0.4537737744850349,0.00833649341722957,0.6989247311827957
55,AR_097,63,98,0.4948479391756704,0.42925331200792477,0.006174207605014919,0.6428571428571429
56,AR_083,79,92,0.5072197357203752,0.4436105927580702,0.006816424701725401,0.8586956521739131
57,AR_089,35,93,0.5138098250052712,0.4515020438409169,0.00756408291781544,0.3763440860215054
58,AR_098,48,85,0.5044405997693194,0.44845011616925556,0.006269122412517486,0.5647058823529412
59,AR_003,7,84,0.5328548085901029,0.48004046266766826,0.008797317159007865,0.08333333333333333
60,AR_023,7,105,0.5287114845938377,0.4765415011896087,0.00867497734387873,0.06666666666666667
