label,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
0,22_nd_A_B_OC,28,0,86,0.7119139410521077,0.6560988016992622,0.7864071632881479,0.4237884896174657,0.6537150892652266,0.6000777228449716,0.0055940616388821,0.3255813953488372
0,9_A_B_OC,2,0,95,0.7356318603996623,0.6823181402046657,0.8079650999155642,0.4719697840749525,0.4592358554290204,0.8012743369048698,0.0052306575041333,0.0210526315789473
1,42_A_B_H,0,0,94,0.7222380248037321,0.6669103103893489,0.8037603822960515,0.4452023675097873,0.2142154314695067,0.936145038948105,0.0057814427314544,0.0
0,5_nd_A_B_OC,8,0,101,0.7273256737438449,0.673172806128728,0.7997829194684175,0.45401163845628,0.6338506405943146,0.6502217596432451,0.0066527467468357,0.0792079207920792
1,5_A_B_H,0,0,85,0.7293488518402014,0.6740532115516634,0.8006291286568102,0.4604918184975614,0.3496261282787801,0.8685458153796998,0.005563495094054,0.0
1,47_A_B_H,0,0,106,0.7175612955302186,0.6615714757102256,0.7891988699424877,0.4383999231671849,0.077662320371395,0.9808916941637436,0.0066098442936121,0.0
1,15_A_B_H,0,8,95,0.7248240923163527,0.6712602878896268,0.8075429214748099,0.4507301675837386,0.6257461935421227,0.6547687443509929,0.0047996406479621,0.0
1,7_nh_A_B_H,0,0,104,0.714726450020568,0.6565859356639816,0.784296585767174,0.4303609330976463,0.3324626457166143,0.8868562274387478,0.0065257628911095,0.0
1,8_nh_A_B_H,0,26,112,0.7254822383498858,0.6708552719744182,0.7887223071046601,0.4508153850386525,0.64637863206141,0.618810801134407,0.0068829803170397,0.0
1,10_A_B_H,0,23,106,0.7315104429421856,0.6769756809872767,0.8078145494904648,0.4665894744291806,0.6632184780331067,0.5939714789465101,0.0049886182080357,0.0
0,11_nd_A_B_OC,2,0,97,0.721704614366834,0.667859527735875,0.7929047907822919,0.4452116426868687,0.6050979743047461,0.688706602604908,0.0061254656063067,0.0206185567010309
0,10_A_B_OC,1,0,125,0.7312299465240643,0.679647795807266,0.811914438502674,0.4631017662313809,0.3807843101186349,0.8620722048462377,0.0046179842238148,0.008
1,15_nd_A_B_H,0,102,103,0.706583251129225,0.6515679065061342,0.7738175587975699,0.4135585396025311,0.5200833796398471,0.7684938236182298,0.004698553896343,0.0
