sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
pool4_S7_low,0,0,34,105,0.48402116402116396,0.2954290515643448,0.4839417989417989,-0.0305182349194654,0.641713059251573,0.6252576439143085,0.0061370460814905246,0.3238095238095238
pool2_S4_high,1,65,0,99,0.5049943883277217,0.33112179182307006,0.5078563411896745,0.011621902061010107,0.6487273631893392,0.6102252330156319,0.006149845647200144,0.6565656565656566
pool9_S3_low,0,0,1,116,0.5054118773946361,0.3133651298868803,0.5150383141762451,0.015355105902061995,0.42445777223255,0.8236598381967565,0.005352367797582689,0.008620689655172414
pool6_S10_high,1,98,0,106,0.47835429769392007,0.2908918412007083,0.48047693920335444,-0.04320139833216203,0.5646996077006186,0.6988479084742117,0.006544931949019999,0.9245283018867925
pool5_S10_high,1,21,0,105,0.5010582010582012,0.33099387178980644,0.5050264550264549,0.006340389212175385,0.5906988124037981,0.6763635978106688,0.006783057477501922,0.2
pool6_S18_low,0,0,0,101,0.5043454345434544,0.31805970716058807,0.49642464246424634,0.015133658816101216,0.5003651274342933,0.7724351796542996,0.005577533308886443,0.0
pool7_S2_high,1,38,0,96,0.4906249999999999,0.30677354836715515,0.501736111111111,-0.016833926258187113,0.6423137827270856,0.6298446778328072,0.006806570825211175,0.3958333333333333
pool6_S13_low,0,0,36,102,0.48006535947712414,0.30651889714694697,0.4675925925925923,-0.041471868874175505,0.6472559735889625,0.6188371279114241,0.005488542318284115,0.35294117647058826
pool3_S20_low,0,0,31,108,0.4937242798353911,0.31889393089376983,0.4898405349794236,-0.01028731890586134,0.6646706059766561,0.5915670992493217,0.007379769581511822,0.28703703703703703
pool8_S23_low,0,0,17,83,0.4989290495314593,0.3064234277443419,0.5024765729585005,-0.005392112585527456,0.6352208864443065,0.6327269657886634,0.007253431068447229,0.20481927710843373
pool1_S12_low,0,0,23,101,0.49015401540154013,0.3079087089984041,0.4857535753575358,-0.01827171058191662,0.6269437601588868,0.6410702481147523,0.007146840239579513,0.22772277227722773
pool8_S10_low,0,0,0,112,0.4947916666666666,0.3018193333025228,0.5076140873015874,-0.010014541720642341,0.36518628774287437,0.8632604350628414,0.0063704155544433315,0.0
pool3_S21_low,0,0,84,109,0.48883792048929675,0.32169450113263137,0.4899592252803261,-0.023544013325264367,0.6447238088129261,0.6193134499905009,0.00821416061548013,0.7706422018348624
pool9_S16_low,0,0,67,98,0.4764739229024944,0.3071807284047372,0.4761054421768708,-0.04495197675192418,0.6576356306069988,0.6012448852268812,0.0072392777271275055,0.6836734693877551
pool4_S1_low,0,0,34,95,0.4866081871345029,0.31165587524784394,0.4761695906432747,-0.028668797956069858,0.6195678940888081,0.6463138230942697,0.006470642721855862,0.35789473684210527
pool3_S4_low,0,0,39,107,0.4944444444444443,0.3104731647543095,0.4897975077881617,-0.009172460491688418,0.6392793078251195,0.6278924978000251,0.007667132541346377,0.3644859813084112
pool8_S11_low,0,0,9,99,0.5034231200897868,0.31923951394019534,0.5049663299663298,0.010452741056443799,0.6143242370726233,0.6685981037740409,0.00626524758799891,0.09090909090909091
pool7_S17_low,0,0,1,97,0.4832187857961052,0.28952390974250114,0.4881729667812143,-0.03547061176795118,0.5116107296471075,0.766471833275308,0.007762975425310763,0.010309278350515464
pool5_S24_low,0,0,1,103,0.5032362459546925,0.3265750872014502,0.5172599784250269,0.009796110658413452,0.5071941699983138,0.7628093096535231,0.006393442430310251,0.009708737864077669
pool9_S14_low,0,0,0,116,0.4918582375478925,0.3060779634935898,0.501772030651341,-0.020767626769832518,0.4140389032088869,0.8295329186880478,0.005961047254150701,0.0
pool6_S16_high,1,69,0,79,0.4837552742616034,0.30640059555497,0.480872011251758,-0.031672593117931004,0.6069108014697414,0.6650978217337193,0.008060914966681492,0.8734177215189873
pool5_S15_high,1,105,0,115,0.4803381642512077,0.2920827583786198,0.4833333333333333,-0.043721457974706696,0.6179253783611656,0.667017261634481,0.007833163827443004,0.9130434782608695
