,sample_name,false_negative_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,balanced_accuracy_variance,appearance_rate
41,AR_004,89,89,0.5654984840378099,0.4930902956261358,0.005752724093079898,1.0
42,AR_066,24,98,0.5849935212180111,0.5225805380363209,0.006375091063145224,0.24489795918367346
43,AR_096,22,100,0.5899603174603177,0.5259776226026177,0.006169357660759777,0.22
44,AR_091,31,100,0.5926587301587304,0.5269377852163941,0.005256767409545187,0.31
45,AR_014,47,113,0.5643699957859252,0.49599813028718087,0.005756874289491983,0.415929203539823
46,AR_017,95,105,0.57962962962963,0.5011730617123923,0.004613054861070735,0.9047619047619048
47,AR_062,4,112,0.5832624716553289,0.5235645763268523,0.005487909151457904,0.03571428571428571
48,AR_021,130,130,0.5591269841269844,0.48457927308547466,0.0051046897369341065,1.0
49,AR_008,35,124,0.5868855606758834,0.5205349789356275,0.006063715991102564,0.28225806451612906
50,AR_044,1,92,0.5995082815734989,0.5439132015658643,0.005752422516138873,0.010869565217391304
51,AR_013,96,99,0.5692640692640693,0.497933948141272,0.006679403363076833,0.9696969696969697
52,AR_070,101,109,0.5680792194553663,0.4958944781193918,0.00539632799798164,0.926605504587156
53,AR_060,41,115,0.5798826777087649,0.511268421854897,0.005817708330330466,0.3565217391304348
54,AR_001,104,105,0.564663643235072,0.488885621072247,0.005244043927433949,0.9904761904761905
55,AR_074,2,111,0.604819104819105,0.5432760545637836,0.005714305317479921,0.018018018018018018
56,AR_011,87,96,0.5615492724867724,0.49258209034031003,0.005096403307099318,0.90625
57,AR_076,93,105,0.574867724867725,0.504379015931144,0.005022114496320846,0.8857142857142857
58,AR_050,80,103,0.5817922638310989,0.5141298121410097,0.005711307056683395,0.7766990291262136
59,AR_082,96,115,0.5722222222222221,0.5037220001565592,0.005591911878461586,0.8347826086956521
60,AR_054,8,87,0.5974274767378219,0.5420844496821503,0.005976462431478279,0.09195402298850575
61,AR_097,8,96,0.5786210317460317,0.5257093385765838,0.006854209763827559,0.08333333333333333
62,AR_088,88,96,0.5801091269841269,0.5185844536057618,0.006233942163610082,0.9166666666666666
63,AR_010,62,103,0.5792109724148559,0.5092779217413631,0.007089540238965058,0.6019417475728155
64,AR_063,72,101,0.5860050290743363,0.5120983552913215,0.0070175450084691,0.7128712871287128
65,AR_085,78,88,0.5815295815295817,0.5032801447020792,0.005336946497318693,0.8863636363636364
66,AR_098,30,93,0.5838453661034309,0.5223016135105777,0.006361538953537887,0.3225806451612903
