sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
P4-S5_TRB_new_embedded_low,0,0,13,94,0.44920212765957457,0.23937420772292484,0.4494680851063829,-0.10681505698001938,0.6022740530911745,0.6725899729748054,0.008178119995424388,0.13829787234042554
P1-S7_TRB_new_embedded_high,1,62,0,86,0.4406976744186046,0.23395850933939358,0.4548255813953487,-0.12415473896554728,0.6491021037771071,0.6084641079265416,0.00770656634746922,0.7209302325581395
P7-S15_TRB_new_embedded_high,1,81,0,102,0.4556372549019608,0.2627406601488557,0.4666666666666666,-0.08852266836517489,0.6405656708222879,0.630796764924438,0.007894886915162104,0.7941176470588235
P7-S8_TRB_new_embedded_low,0,0,14,91,0.4678571428571429,0.2774402999255041,0.46925824175824177,-0.06020006853001086,0.5897561441211222,0.6814217019669678,0.006462301587301588,0.15384615384615385
P5-S16_TRB_new_embedded_low,0,0,47,126,0.4365079365079363,0.23074283465383214,0.4395436507936509,-0.12868072155892,0.6431795470332665,0.6149640458721835,0.005996507936507936,0.373015873015873
P3-S23_TRB_new_embedded_low,0,0,16,108,0.4502314814814816,0.24242961957678125,0.4518287037037037,-0.1049712621678503,0.5514268040319077,0.7006207139603473,0.007131955261336102,0.14814814814814814
P6-S14_TRB_new_embedded_high,1,86,0,113,0.4384955752212389,0.23225719265969316,0.4432743362831857,-0.12675253170775533,0.6505683783308495,0.6199216427415031,0.00792450221238938,0.7610619469026548
P4-S10_TRB_new_embedded_low,0,0,49,110,0.4545454545454545,0.25050956507960365,0.453181818181818,-0.09362110726389447,0.6370794713440698,0.6265655731644788,0.0069630942452043355,0.44545454545454544
P4-S7_TRB_new_embedded_low,0,0,94,102,0.45612745098039226,0.26277890686800537,0.4553186274509804,-0.09215363945484274,0.49504087539215097,0.7706941450134834,0.0071093598330421275,0.9215686274509803
P8-S9_TRB_new_embedded_low,0,0,51,116,0.4521551724137931,0.2550539952267222,0.4476508620689655,-0.09720076580634597,0.6573638956604005,0.6072659531751124,0.00839748875562219,0.4396551724137931
P4-S13_TRB_new_embedded_low,0,0,8,130,0.46749999999999997,0.261442765683418,0.4639038461538459,-0.06818847694722084,0.5583984607064583,0.7179958733839955,0.007341569767441861,0.06153846153846154
P9-S13_TRB_new_embedded_low,0,0,5,99,0.45227272727272755,0.24737406340596657,0.4551010101010101,-0.09443923709158542,0.5568707139786436,0.7139078948621288,0.008394016697588127,0.050505050505050504
P8-S22_TRB_new_embedded_low,0,0,4,100,0.46124999999999994,0.2539260007262115,0.45627500000000004,-0.08126984538567797,0.5161392632566435,0.7585355806886365,0.00736584595959596,0.04
P4-S6_TRB_new_embedded_high,1,74,0,113,0.46305309734513284,0.2764893630052173,0.45953539823008815,-0.07617829661437321,0.6190569955147129,0.6480454358460275,0.007367157869785083,0.6548672566371682
P3-S9_TRB_new_embedded_high,1,36,0,100,0.46425000000000016,0.290009438070687,0.4702749999999996,-0.07158766004309769,0.6261539020452025,0.6383147038495095,0.007477967171717171,0.36
P8-S7_TRB_new_embedded_high,1,64,0,87,0.45229885057471264,0.24798911295864046,0.4457183908045977,-0.09885855246703859,0.6057012654733664,0.6491747041980803,0.007174886394012296,0.735632183908046
P8-S14_TRB_new_embedded_low,0,0,11,127,0.45334645669291324,0.24239179866678412,0.45297244094488176,-0.09647458643800165,0.488516995761076,0.7455356718255081,0.007364704411948506,0.08661417322834646
P7-S11_TRB_new_embedded_high,1,72,0,102,0.4526960784313726,0.26219406376140386,0.4475735294117646,-0.09464722538706705,0.6176212631598708,0.6478967615314379,0.007833005727043294,0.7058823529411765
P7-S6_TRB_new_embedded_high,1,52,0,84,0.45714285714285713,0.25598241546820893,0.4586904761904761,-0.08846106960450936,0.6382397193086662,0.6278201965492516,0.007192340791738381,0.6190476190476191
P9-S23_TRB_new_embedded_low,0,0,2,106,0.46202830188679256,0.2539714587861632,0.468325471698113,-0.079029700683482,0.48210438524337107,0.793065132635046,0.006645608715184187,0.018867924528301886
P4-S8_TRB_new_embedded_low,0,0,1,103,0.4730582524271844,0.2666093747325653,0.48111650485436874,-0.05722996508247262,0.3702561777199066,0.8488676075630912,0.006282957357700359,0.009708737864077669
P3-S17_TRB_new_embedded_low,0,0,31,105,0.4430952380952381,0.2437925320606186,0.4324047619047618,-0.11775467624640348,0.5990235316918225,0.6648635289751115,0.006604510073260073,0.29523809523809524
P3-S20_TRB_new_embedded_low,0,0,64,107,0.4546728971962615,0.2672122486883905,0.4467757009345792,-0.09045679265974961,0.6304064141070764,0.6384014834138104,0.008126542937753483,0.5981308411214953
P3-S19_TRB_new_embedded_low,0,0,14,103,0.44757281553398076,0.2552119017073616,0.4498058252427183,-0.1036056987199717,0.5818718446226222,0.6863448345117531,0.009038168665524461,0.13592233009708737
P7-S13_TRB_new_embedded_high,1,97,0,106,0.45094339622641505,0.25227121039805495,0.45297169811320737,-0.09989200336205302,0.606634654179759,0.6673389403697212,0.006522911051212938,0.9150943396226415
P2-S4_TRB_new_embedded_high,1,101,0,120,0.4450000000000003,0.24415594322981435,0.4504166666666667,-0.11247979180308762,0.6223073847757551,0.6472045157088301,0.007275210084033615,0.8416666666666667
