sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
47_A_B_H,0,0,0,108,0.6824371162606455,0.6321619150020935,0.7477718360071303,0.3638008147042456,0.008868287965870754,0.9985204488543474,0.00548678315098867,0.0
16_nd_A_B_H,0,0,102,102,0.6612404320016775,0.6095893635292385,0.7105483904791867,0.3207454152110164,0.33977266299804015,0.8887929112678166,0.0074935946400738924,0.0
26_A_B_OC,1,0,0,104,0.6873200329082683,0.6394750073402407,0.7471462361168238,0.37494462176837373,0.5196805645042871,0.7768661496699765,0.007703192720081466,0.0
1_nd_A_B_H,0,0,46,87,0.6698936627942712,0.6252557259152872,0.7291781916528367,0.339811287972712,0.654351549840205,0.6116531032019747,0.00651470781058924,0.0
22_nd_A_B_OC,1,35,0,95,0.67247396566282,0.6205689364695957,0.7361384745285673,0.34240123921322585,0.6593469575980453,0.6006663299572975,0.006881759966762434,0.0
1_A_B_OC,1,1,0,97,0.6749545178896299,0.6278006970939922,0.7290093169413966,0.3509257047284269,0.5819181071609073,0.7156871948179743,0.006737948137471588,0.0
21_nd_A_B_OC,1,0,0,94,0.6936511548526566,0.6465860414360214,0.7547218113551032,0.3884046208484747,0.3996167347218535,0.8563017754970773,0.006584094201054595,0.0
25_A_B_H,0,0,0,104,0.679195804195804,0.6279218793221829,0.7463492389962977,0.35857145948101965,0.14365205678668497,0.9596209788888823,0.00729272567481139,0.0
20_A_B_H,0,0,0,112,0.6777597402597401,0.6233658409143177,0.747373949579832,0.3567529993823966,0.007362319829959181,0.9987987545131202,0.006527400735485039,0.0
7_nh_A_B_H,0,0,1,106,0.6871153264050045,0.6353249602839092,0.7478811421652708,0.3726986819493859,0.46777958607898157,0.7741271025497497,0.007109151252616327,0.0
25_A_B_OC,1,93,0,99,0.6626964835520983,0.6029963961043243,0.7446659104413115,0.32547689047046957,0.5978721467657965,0.6857531516650858,0.007301126133929067,0.0
16_nd_A_B_OC,1,3,0,101,0.6958489966643723,0.6510859810016622,0.7534547572404298,0.39068828369951586,0.5676578057785635,0.7210449305519958,0.005851097535044476,0.0
3_A_B_OC,1,6,0,91,0.6683316683316682,0.6255087429737977,0.715960510078157,0.33737779320793215,0.6331620069790346,0.6491583013023347,0.006681141723607907,0.0
16_A_B_H,0,0,0,112,0.6870464094728801,0.6385488234844524,0.7617933537051185,0.3733638123818482,0.3404804745528945,0.871674427444386,0.006264027983711847,0.0
11_A_B_H,0,0,4,106,0.6932448794268997,0.6444736991644983,0.7492432650590256,0.384218466194559,0.49646986452653186,0.7528915864733103,0.005983331225189648,0.0
11_nd_A_B_OC,1,7,0,89,0.6810370726431534,0.6315422767004547,0.7276632818602415,0.36050595630274734,0.658191672240328,0.6115258882874924,0.007076917842685179,0.0
4_A_B_OC,1,5,0,99,0.6894344514665371,0.6417005739451488,0.7393453249068223,0.37844675390190813,0.609506801511823,0.677809575553658,0.006718540158362367,0.0
34_A_B_H,0,0,0,106,0.676975078195944,0.6249832218274963,0.7444506104328524,0.35407841579775834,0.017522187098522875,0.9968490619775502,0.006028211818569534,0.0
37_A_B_OC,1,7,0,105,0.6875477463712759,0.6422881738198382,0.7387063916475682,0.3734527514558757,0.6221449274212665,0.6689370009881347,0.004931624682332452,0.0
2_A_B_H,0,0,32,93,0.6752055660974065,0.622209846692086,0.7426254959461793,0.3512677939843658,0.6176686104357801,0.6535010921735139,0.007422970811080105,0.0
5_nd_A_B_H,0,0,94,99,0.6694484956517043,0.6246952177869514,0.7310808620969047,0.33604614383982495,0.5487785936297671,0.7439180357110012,0.005630874497380751,0.0
4_nd_A_B_OC,1,5,0,108,0.6952366805307983,0.6463482460933346,0.7483907704495939,0.391286098964027,0.6050803516733565,0.6827970405384289,0.006870435240168859,0.0
13_A_B_OC,1,3,0,94,0.6819319604050517,0.6328280927994774,0.7398168164751391,0.3653989822152626,0.5947598392858114,0.7030291546356607,0.0055623636685914165,0.0
12_A_B_H,0,0,88,92,0.6681004417577305,0.6231655847734632,0.72006510113927,0.33927843418018855,0.6120691921817215,0.6790520681113565,0.005504124279511672,0.0
38_A_B_H,0,0,0,114,0.6847499765456423,0.6335771413172346,0.7497420020639836,0.3691778511422593,0.13098036672470775,0.9642210874578395,0.005842338903236623,0.0
1_A_B_H,0,0,116,116,0.6799511340586393,0.6332478867224748,0.7277567766918679,0.3592946258164832,0.4875006677677481,0.7993151782110639,0.005530640160488258,0.0
10_A_B_H,0,0,8,108,0.6770400079223612,0.6279012805593389,0.7431917211328979,0.35367576339227813,0.5892996528372803,0.690691925931514,0.0063842996488379595,0.0
10_A_B_OC,1,20,0,93,0.6732505318843081,0.6217463380271611,0.7293715140014951,0.3451013083187782,0.6503465723337057,0.6215674293454546,0.006020481361097617,0.0
9_nh_A_B_H,0,0,5,77,0.6751857767900548,0.6253810414146506,0.7299812486978262,0.3495242631701395,0.5861162226975851,0.6920579734917802,0.005679393174859084,0.0
27_A_B_H,0,0,0,93,0.6788281294922659,0.6264537597396398,0.74693807141625,0.35612423111403213,0.08657645422906114,0.9785714955298309,0.006023945659690756,0.0
11_nh_A_B_H,0,0,59,95,0.6804672108077681,0.6330587956384667,0.7307345904869124,0.362067968555419,0.6589986679656225,0.6055132090328748,0.00699264845583756,0.0
12_A_B_OC,1,87,0,93,0.6541601978034615,0.5974547126529346,0.7276752343166004,0.3072089671201046,0.6351649280510006,0.6441872441192207,0.005983015799033168,0.0
26_nd_A_B_H,0,0,9,105,0.6852559205500384,0.6383066878182346,0.741201935319582,0.3697032423775265,0.5936066493900011,0.6824980052735461,0.006200232607907976,0.0
23_nd_A_B_H,0,0,103,107,0.6711729721625269,0.6245970696349838,0.7292468389224849,0.3419895261843753,0.6171111480891288,0.6719295732354112,0.007154042813717382,0.0
6_A_B_OC,1,0,0,103,0.6915269196822597,0.6466609767290068,0.7525050620424693,0.3815498126429315,0.4988949307197382,0.7863718055755367,0.005034710055693885,0.0
45_A_B_H,0,0,0,101,0.685471488325303,0.6312411301248807,0.7533488642981945,0.370808271698456,0.012149256075259187,0.997782278708283,0.006370888897634652,0.0
18_A_B_H,0,0,100,101,0.6556096786149199,0.6074682326776001,0.7062265050034416,0.3110246190349844,0.5398889572935925,0.7399783482266197,0.007155769367436904,0.0
28_A_B_OC,1,0,0,100,0.7014973262032086,0.6563353623556621,0.7536898395721923,0.4024011945170922,0.4458462188004009,0.8297328152473586,0.005220138702937755,0.0
28_A_B_H,0,0,0,105,0.6788642729819198,0.6248209146458665,0.7448433919022154,0.3550566695014513,0.13788189091510825,0.9622896243369342,0.007219158371250224,0.0
7_nd_A_B_H,0,0,9,111,0.6906826612708966,0.6423985513050235,0.7448089801030977,0.38057756138655013,0.6002110201313386,0.6807200049805137,0.004819721101284772,0.0
24_A_B_H,0,0,0,101,0.6857626939164505,0.6326445859248067,0.7532429713559593,0.37215216262957723,0.019253813977845983,0.9963166577092188,0.0074566893619214085,0.0
14_A_B_H,0,0,103,103,0.6624526244743264,0.6136594168972904,0.7161881522247029,0.3239683989094368,0.5008482199138914,0.791410452696604,0.005497090983585109,0.0
17_nd_A_B_H,0,0,10,113,0.6792863565377883,0.6320745179603745,0.7324546874260562,0.35814494508894906,0.6193572470217398,0.6600160759302656,0.007818639456677521,0.0
