,sample_name,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
11,13_nd_A_B_OC,0,0,123,0.6864266771009958,0.6402875936276502,0.7513151602104255,0.37097288564589914,0.4947881250537244,0.7937629670843053,0.005338018452527289,0.0
12,13_A_B_OC,2,0,99,0.6842218981256417,0.6357494689949266,0.7488521579430669,0.3676957222222477,0.6044265029763781,0.6922771105392174,0.005921059957696488,0.020202020202020204
13,7_nd_A_B_OC,66,0,89,0.6676380460253561,0.6111064553554145,0.7398005167337618,0.333646303993632,0.6712032178854029,0.5807383541613315,0.006285015509578293,0.7415730337078652
14,4_A_B_OC,9,0,105,0.6766233766233767,0.6313354846621942,0.7315253374076902,0.35073500519774076,0.6171213038217342,0.6709029617865483,0.005859561954245817,0.08571428571428572
15,11_nh_A_B_H,0,53,99,0.6744719926538109,0.6255903046633876,0.7328633932912008,0.34833821916530416,0.6579255154867898,0.6066945397214875,0.0063892367984155415,0.0
16,39_A_B_OC,3,0,88,0.6894141954302385,0.6442611595139874,0.7325291686922702,0.3761750779099185,0.623067683515539,0.6627673374073901,0.00759209164301458,0.03409090909090909
17,4_nd_A_B_OC,4,0,101,0.7028644040874678,0.6554552523132484,0.7532164981204006,0.4034143423457605,0.6010867054518219,0.6846147616667807,0.005276339524484063,0.039603960396039604
18,9_nh_A_B_H,0,12,98,0.686292698897741,0.636068425849569,0.7383498854087094,0.3706923915721554,0.6153737795987051,0.6526877388930342,0.006449272670993733,0.0
19,35_A_B_H,0,0,91,0.6912499265440443,0.6412042862101672,0.749456425927014,0.380759486476258,0.09329793789849782,0.9749000337834071,0.005747207949158249,0.0
20,25_A_B_OC,97,0,101,0.6591306189442475,0.6004721977489568,0.7323026420289087,0.3157134916968543,0.5910721294509559,0.7023808620130324,0.005963226552287189,0.9603960396039604
21,34_A_B_H,0,0,114,0.6872595928323486,0.6373320056500684,0.7448165869218504,0.37241969431761335,0.019273303416841744,0.996240548311687,0.007029352397909122,0.0
22,38_A_B_OC,57,0,102,0.6650414176365735,0.6135764515852172,0.7295533186536646,0.32776232361604785,0.6719045747789593,0.5810152502231642,0.00825882229249515,0.5588235294117647
23,18_nd_A_B_OC,30,0,96,0.6732954545454546,0.622740884907152,0.7341243315508018,0.3453243467859719,0.6637222117234248,0.5916169231274574,0.005440956350812976,0.3125
24,13_A_B_H,0,103,118,0.6681319677331642,0.6206828761533828,0.7325070243814013,0.3358683958650954,0.6389346627811876,0.6406828812269757,0.00641657085427379,0.0
25,10_nh_A_B_H,0,94,94,0.6743941290249177,0.6265500805275649,0.7218966890431218,0.3473706452493545,0.5246733520763753,0.7719177411973491,0.00621551350325329,0.0
26,7_nd_A_B_H,0,3,106,0.691807083039048,0.6414097085059914,0.7429623650489352,0.3806739900922938,0.6111576597146039,0.670146641265189,0.005285130351752704,0.0
27,48_A_B_H,0,0,102,0.6948726014469959,0.6435348592979038,0.7637359756736917,0.387794954064928,0.007340670285275322,0.9987570435492445,0.0061167747328181015,0.0
28,39_A_B_H,0,0,87,0.6938349007314524,0.6441691904559291,0.7610793533714424,0.38627842496671344,0.01011445005524468,0.9981282847215156,0.005454644140494271,0.0
29,12_nh_A_B_H,0,23,109,0.6826276799293532,0.6302740443006912,0.7466025609576606,0.36274459899361183,0.6369764054804334,0.6346366858042043,0.007832003661861877,0.0
30,21_A_B_OC,27,0,119,0.6811216465195707,0.6276953634145999,0.7479216285444662,0.3621467359209216,0.6577116825459255,0.6039431660610959,0.005847244627914259,0.226890756302521
31,14_A_B_OC,11,0,104,0.6937474290415467,0.6449811411600936,0.7492544220485396,0.38520093944522754,0.6397940555812157,0.637671734493775,0.005765012267026396,0.10576923076923077
32,1_A_B_H,0,93,94,0.6730287859824784,0.6254316493649787,0.7255944931163956,0.3442748409616716,0.5092126785868415,0.7812230789921127,0.006910363670868169,0.0
33,14_nd_A_B_H,0,105,105,0.6828622358034122,0.6370944278580359,0.729946524064171,0.36583286422541195,0.45709725033646564,0.8193344157957199,0.005715432465196542,0.0
34,19_A_B_OC,4,0,102,0.6766802977875642,0.6255466862162188,0.7404844290657439,0.35114309541558647,0.6063310232749523,0.681614594143791,0.006960151448781057,0.0392156862745098
35,17_nd_A_B_OC,0,0,105,0.690196078431373,0.644204494899064,0.7591291061879295,0.3792119219284898,0.3760184037538634,0.8682478370999397,0.006090018558562126,0.0
36,26_A_B_H,0,0,103,0.6842064274959764,0.6330304290631527,0.7502725715175745,0.3663262032845792,0.054023968033843746,0.9869472151248038,0.007409912171699306,0.0
37,31_A_B_H,0,0,99,0.6897315399989197,0.6415353770821552,0.7527413169124397,0.3773483660836545,0.012035254260604205,0.9976905317993467,0.004673515374830417,0.0
38,46_A_B_H,0,0,99,0.6911629665640362,0.6417032578889189,0.7471236428455682,0.3796814715818185,0.0070766178792722595,0.9987279536252255,0.0059681685611590865,0.0
39,20_A_B_OC,0,0,101,0.6981256949224334,0.6531273059629957,0.7612114152591732,0.3942624380317314,0.4573340354235076,0.818981719429217,0.006717164481468594,0.0
40,2_nd_A_B_H,0,69,90,0.6772727272727274,0.6305345109327144,0.7420083184789066,0.353248628227541,0.6646018278966851,0.5954572212846198,0.005966673210718578,0.0
41,21_nh_A_B_H,0,0,106,0.6975330440924228,0.6499912066773386,0.7533548582383213,0.39414957093664255,0.34773454777356677,0.8741150811150917,0.006807485654666745,0.0
42,12_nd_A_B_OC,6,0,101,0.6789061259067084,0.6317141605345388,0.7344469741091758,0.35708110344584293,0.6202290014029866,0.6622612251547445,0.00483729860875361,0.0594059405940594
43,1_nd_A_B_H,0,42,112,0.6702635599694425,0.6226143349166816,0.7301375095492743,0.33838615448575976,0.6647265966428322,0.5950144230904755,0.007804366014494985,0.0
44,13_nh_A_B_H,0,2,113,0.6895792910889216,0.63848926334897,0.7467464862051018,0.37694370098459123,0.464630971686593,0.7802030762935784,0.0078051228794700205,0.0
45,1_nd_A_B_OC,114,0,116,0.6612345565185325,0.6058283126637289,0.735409367508759,0.32039495811732716,0.5746550441993165,0.714275632747987,0.005892699972470799,0.9827586206896551
