sample_name,label,false_negative_appearances,false_positive_appearances,total_test_appearances,average_balanced_accuracy,average_f1_score,average_roc_auc_score,average_mcc_score,average_entropy,average_confidence,balanced_accuracy_variance,appearance_rate
P4-S12_TRB_new_embedded_low,0,0,15,105,0.45142857142857135,0.2481991854427255,0.4563809523809524,-0.10072901982734125,0.5972815239725512,0.6722189974415318,0.006344093406593407,0.14285714285714285
P5-S2_TRB_new_embedded_low,0,0,85,100,0.44799999999999984,0.2650762215828686,0.44472499999999976,-0.10708637746617818,0.4622685728169549,0.7830107217563602,0.006801515151515154,0.85
P2-S4_TRB_new_embedded_high,1,83,0,109,0.45183486238532095,0.24459969527048622,0.4470183486238533,-0.10217416734682461,0.6434225806371562,0.622764757503921,0.007311416921508664,0.0
P1-S8_TRB_new_embedded_low,0,0,15,101,0.47128712871287115,0.2787024138947744,0.4788861386138615,-0.0594661441754785,0.6390520049061916,0.6305816632494916,0.007792326732673267,0.1485148514851485
P1-S6_TRB_new_embedded_low,0,0,20,101,0.44504950495049495,0.2330945310733129,0.4498019801980197,-0.11951236540690727,0.6076624686598114,0.6520581291350616,0.005762747524752475,0.19801980198019803
P4-S23_TRB_new_embedded_low,0,0,29,109,0.45504587155963305,0.24981851960503665,0.45844036697247714,-0.09315292634311269,0.614622159756889,0.657326490469248,0.007404858987427794,0.26605504587155965
P6-S3_TRB_new_embedded_high,1,72,0,102,0.4571078431372548,0.2430994768439195,0.46431372549019634,-0.09504526735842496,0.6433246954006008,0.6181053653519499,0.006737344690351387,0.0
P3-S10_TRB_new_embedded_low,0,0,5,108,0.44606481481481475,0.24049693598944163,0.46069444444444446,-0.11239804469517295,0.4326796379204083,0.807463720631795,0.00726824809622707,0.046296296296296294
P9-S3_TRB_new_embedded_low,0,0,40,93,0.4516129032258064,0.25604323161214027,0.4518548387096774,-0.1004049885687838,0.6549921307028516,0.6045597355044565,0.007470196353436184,0.43010752688172044
P1-S9_TRB_new_embedded_low,0,0,1,120,0.4552083333333333,0.24566557404317643,0.46227083333333346,-0.09665591006401032,0.29579249793849105,0.8864429061756527,0.007351846988795516,0.008333333333333333
P3-S8_TRB_new_embedded_low,0,0,77,104,0.4413461538461536,0.24998177692279347,0.44740384615384604,-0.12101418205830683,0.6305368054482462,0.6425554567556601,0.007509335324869306,0.7403846153846154
